Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,4100.0,4380.0,4020.0,4300.0,3624.647216796875,621478200
2019-08-12,4330.0,4350.0,4130.0,4180.0,3523.494384765625,442615900
2019-08-19,4180.0,4200.0,4000.0,4070.0,3430.770263671875,434109900
2019-08-26,4130.0,4280.0,4080.0,4220.0,3557.211669921875,523657100
2019-09-02,4180.0,4290.0,4100.0,4170.0,3515.06494140625,412716600
2019-09-09,4180.0,4350.0,4100.0,4190.0,3531.923583984375,459406000
2019-09-16,4160.0,4260.0,4130.0,4180.0,3523.494384765625,578045000
2019-09-23,4160.0,4210.0,4020.0,4120.0,3472.917724609375,392364200
2019-09-30,4120.0,4130.0,3810.0,3900.0,3287.470703125,644078100
2019-10-07,3960.0,3990.0,3880.0,3920.0,3304.329345703125,557474600
2019-10-14,3970.0,4190.0,3890.0,4120.0,3472.917724609375,499382600
2019-10-21,4080.0,4320.0,4070.0,4230.0,3565.64111328125,517430700
2019-10-28,4240.0,4260.0,4150.0,4160.0,3506.63525390625,319075900
2019-11-04,4190.0,4330.0,3950.0,4000.0,3371.764892578125,806066600
2019-11-11,4000.0,4140.0,3900.0,4120.0,3472.917724609375,593084400
2019-11-18,4150.0,4260.0,4080.0,4130.0,3481.34716796875,541471500
2019-11-25,4150.0,4210.0,4010.0,4210.0,3548.7822265625,469674400
2019-12-02,4210.0,4250.0,4120.0,4180.0,3523.494384765625,282164600
2019-12-09,4140.0,4350.0,4130.0,4330.0,3649.935302734375,615097000
2019-12-16,4360.0,4470.0,4300.0,4450.0,3751.08837890625,672900800
2019-12-23,4450.0,4450.0,4360.0,4400.0,3708.94140625,173140100
2019-12-30,4400.0,4440.0,4320.0,4370.0,3683.653076171875,168837500
2020-01-06,4410.0,4510.0,4340.0,4510.0,3801.66455078125,583931900
2020-01-13,4540.0,4690.0,4510.0,4660.0,3928.105712890625,597980000
2020-01-20,4670.0,4760.0,4640.0,4650.0,3919.676025390625,485793300
2020-01-27,4580.0,4700.0,4450.0,4460.0,3759.517822265625,646632800
2020-02-03,4690.0,4690.0,4400.0,4500.0,3793.23486328125,602433300
2020-02-10,4540.0,4590.0,4470.0,4470.0,3767.947021484375,541776000
2020-02-17,4470.0,4580.0,4400.0,4490.0,3784.806396484375,497554300
2020-02-24,4460.0,4550.0,3910.0,3980.0,3354.90576171875,849906500
2020-03-02,4050.0,4300.0,3750.0,3750.0,3272.732177734375,756727400
2020-03-09,3780.0,4030.0,3360.0,3500.0,3054.550048828125,942693500
2020-03-16,3500.0,3570.0,2620.0,2620.0,2286.549072265625,1357387300
2020-03-23,2580.0,3670.0,2440.0,3010.0,2626.9130859375,1828157200
2020-03-30,3100.0,3200.0,2800.0,3020.0,2635.640380859375,1464869400
2020-04-06,3100.0,3240.0,2700.0,2770.0,2417.458251953125,1087854200
2020-04-13,2790.0,2990.0,2580.0,2780.0,2426.185302734375,1530911900
2020-04-20,2750.0,2880.0,2610.0,2660.0,2321.457763671875,1004907000
2020-04-27,2680.0,2740.0,2560.0,2630.0,2295.276123046875,1110115300
2020-05-04,2630.0,2680.0,2580.0,2620.0,2286.549072265625,718178500
2020-05-11,2620.0,2630.0,2160.0,2170.0,1893.8211669921875,2227650900
2020-05-18,2250.0,2500.0,2250.0,2480.0,2164.366943359375,925706000
2020-05-25,2550.0,2950.0,2470.0,2950.0,2574.54931640625,2162908900
2020-06-01,2950.0,3370.0,2950.0,3300.0,2880.00439453125,1807428500
2020-06-08,3350.0,3360.0,2800.0,2900.0,2530.912841796875,1772971300
2020-06-15,2970.0,3200.0,2960.0,3060.0,2670.54931640625,950152000
2020-06-22,3020.0,3140.0,2980.0,3040.0,2653.094970703125,904231200
