Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,3687.5,3787.5,3550.0,3712.5,3006.26318359375,251632000
2019-01-07,3712.5,3900.0,3675.0,3850.0,3117.60595703125,475799200
2019-01-14,3875.0,4025.0,3825.0,3900.0,3158.094482421875,435698400
2019-01-21,3862.5,3900.0,3537.5,3587.5,2905.0419921875,815773600
2019-01-28,3587.5,3812.5,3525.0,3675.0,2975.896484375,737376200
2019-02-04,3675.0,3812.5,3675.0,3812.5,3087.239990234375,211090800
2019-02-11,3837.5,3837.5,3550.0,3637.5,2945.530517578125,431609200
2019-02-18,3637.5,3662.5,3475.0,3625.0,2935.408447265625,644916000
2019-02-25,3637.5,3637.5,3550.0,3550.0,2874.676025390625,328091000
2019-03-04,3525.0,3562.5,3400.0,3425.0,2773.45458984375,443526600
2019-03-11,3412.5,3612.5,3325.0,3550.0,2874.676025390625,284337000
2019-03-18,3587.5,3762.5,3575.0,3587.5,2905.0419921875,370189600
2019-03-25,3637.5,3762.5,3612.5,3750.0,3036.62939453125,244605400
2019-04-01,3762.5,3850.0,3662.5,3750.0,3036.62939453125,242353000
2019-04-08,3787.5,3862.5,3650.0,3675.0,2975.896484375,264002800
2019-04-15,3687.5,4062.5,3675.0,3875.0,3137.85009765625,456392000
2019-04-22,3850.0,3900.0,3737.5,3887.5,3147.972412109375,495448600
2019-04-29,3912.5,3937.5,3662.5,3762.5,3046.751708984375,333285000
2019-05-06,3837.5,3837.5,3687.5,3762.5,3046.751708984375,388077800
2019-05-13,3725.0,3800.0,3487.5,3612.5,2925.286376953125,438601000
2019-05-20,3637.5,3887.5,3537.5,3862.5,3127.72802734375,526561200
2019-05-27,3850.0,3887.5,3675.0,3837.5,3207.97998046875,561631200
2019-06-03,3837.5,3975.0,3837.5,3925.0,3281.1259765625,208042400
2019-06-10,3937.5,3950.0,3850.0,3900.0,3260.226806640625,348895200
2019-06-17,3887.5,4025.0,3887.5,3987.5,3333.373291015625,570482400
2019-06-24,4012.5,4037.5,3925.0,4000.0,3343.822509765625,317914000
