Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3687.5,3687.5,3687.5,3687.5,2986.018798828125,0
2019-01-02,3700.0,3700.0,3625.0,3662.5,2965.7744140625,45319200
2019-01-03,3637.5,3675.0,3550.0,3587.5,2905.0419921875,74174000
2019-01-04,3587.5,3725.0,3575.0,3725.0,3016.385009765625,78514000
2019-01-07,3750.0,3787.5,3712.5,3712.5,3006.26318359375,53624800
2019-01-08,3712.5,3737.5,3675.0,3675.0,2975.896728515625,80073200
2019-01-09,3750.0,3787.5,3700.0,3787.5,3066.99560546875,104903400
2019-01-10,3812.5,3850.0,3775.0,3850.0,3117.6064453125,130603200
2019-01-11,3875.0,3900.0,3837.5,3850.0,3117.6064453125,88899400
2019-01-14,3875.0,3875.0,3825.0,3850.0,3117.6064453125,71320000
2019-01-15,3875.0,3900.0,3825.0,3900.0,3158.094482421875,86697200
2019-01-16,3900.0,3912.5,3837.5,3900.0,3158.094482421875,78625600
2019-01-17,3900.0,4025.0,3900.0,3937.5,3188.4609375,101961200
2019-01-18,3950.0,3962.5,3912.5,3937.5,3188.4609375,56790000
2019-01-21,3912.5,3950.0,3900.0,3900.0,3158.094482421875,111624400
2019-01-22,3862.5,3900.0,3825.0,3875.0,3137.8505859375,123558000
2019-01-23,3787.5,3850.0,3737.5,3737.5,3026.50732421875,162196000
2019-01-24,3737.5,3750.0,3712.5,3737.5,3026.50732421875,179821400
2019-01-25,3737.5,3762.5,3650.0,3687.5,2986.018798828125,143184800
2019-01-28,3687.5,3712.5,3537.5,3587.5,2905.0419921875,207013400
2019-01-29,3587.5,3625.0,3525.0,3562.5,2884.798095703125,162587800
2019-01-30,3562.5,3662.5,3562.5,3625.0,2935.408447265625,175565200
2019-01-31,3662.5,3737.5,3637.5,3725.0,3016.385009765625,214008600
2019-02-01,3750.0,3812.5,3737.5,3800.0,3077.11767578125,104295400
2019-02-04,3750.0,3800.0,3675.0,3675.0,2975.896728515625,80919200
2019-02-05,3675.0,3675.0,3675.0,3675.0,2975.896728515625,0
2019-02-06,3725.0,3762.5,3712.5,3737.5,3026.50732421875,60281400
2019-02-07,3737.5,3775.0,3712.5,3775.0,3056.87353515625,31622800
2019-02-08,3750.0,3787.5,3712.5,3787.5,3066.99560546875,46828400
2019-02-11,3800.0,3812.5,3762.5,3812.5,3087.23974609375,72358200
2019-02-12,3837.5,3837.5,3687.5,3712.5,3006.26318359375,82644200
2019-02-13,3712.5,3737.5,3625.0,3625.0,2935.408447265625,75046400
2019-02-14,3675.0,3687.5,3587.5,3587.5,2905.0419921875,95699000
2019-02-15,3575.0,3612.5,3550.0,3587.5,2905.0419921875,92002800
2019-02-18,3650.0,3650.0,3587.5,3637.5,2945.530517578125,86216800
2019-02-19,3637.5,3662.5,3562.5,3600.0,2915.1640625,92714200
2019-02-20,3625.0,3625.0,3475.0,3550.0,2874.676025390625,192881200
2019-02-21,3562.5,3662.5,3550.0,3662.5,2965.7744140625,100203800
2019-02-22,3637.5,3650.0,3525.0,3550.0,2874.676025390625,167596800
