Date,Open,High,Low,Close,Adj Close,Volume
2023-11-21,6825.000000,6950.000000,6200.000000,6275.000000,6268.754883,80088500
2023-11-22,6275.000000,6275.000000,5500.000000,5650.000000,5644.376465,92961400
2023-11-23,5700.000000,6450.000000,5700.000000,6425.000000,6423.049805,52116100
2023-11-24,6475.000000,6600.000000,6000.000000,6075.000000,6073.156250,35573700
2023-11-27,6075.000000,6150.000000,5800.000000,5950.000000,5948.194336,27030500
2023-11-28,5975.000000,6300.000000,5900.000000,6250.000000,6248.103027,38044200
2023-11-29,6300.000000,6300.000000,6100.000000,6125.000000,6123.141113,28091900
2023-11-30,6150.000000,7075.000000,6125.000000,6875.000000,6872.913574,76689700
2023-12-01,6925.000000,7100.000000,6500.000000,6800.000000,6797.936035,49599600
2023-12-04,6800.000000,7050.000000,6575.000000,6850.000000,6847.920898,39120700
2023-12-05,6850.000000,7050.000000,6475.000000,6825.000000,6822.928711,50994200
2023-12-06,6850.000000,7375.000000,6800.000000,7200.000000,7197.814941,68123500
2023-12-07,7200.000000,7775.000000,7125.000000,7750.000000,7747.647949,57980500
2023-12-08,7800.000000,8175.000000,7750.000000,8050.000000,8047.556641,50224300
2023-12-11,7950.000000,8050.000000,7500.000000,7600.000000,7597.693359,38133500
2023-12-12,7600.000000,7875.000000,7225.000000,7650.000000,7647.678223,34839300
2023-12-13,7675.000000,7750.000000,7425.000000,7575.000000,7572.701172,14746100
2023-12-14,7575.000000,7625.000000,7025.000000,7200.000000,7197.814941,29173400
2023-12-15,7200.000000,7500.000000,7100.000000,7400.000000,7397.753906,22179600
2023-12-18,7300.000000,7650.000000,7100.000000,7150.000000,7147.830078,18483400
2023-12-19,7150.000000,7450.000000,6950.000000,7325.000000,7322.776855,21446100
2023-12-20,7350.000000,7550.000000,7225.000000,7450.000000,7447.738770,21918400
2023-12-21,7450.000000,7550.000000,7350.000000,7500.000000,7497.723633,11927700
2023-12-22,7500.000000,7650.000000,7375.000000,7500.000000,7497.723633,17981700
