Date,Open,High,Low,Close,Adj Close,Volume
2023-06-07,900.000000,930.000000,885.000000,925.000000,925.000000,13434400
2023-06-08,940.000000,955.000000,915.000000,915.000000,915.000000,14521500
2023-06-09,920.000000,925.000000,885.000000,890.000000,890.000000,4928400
2023-06-12,890.000000,915.000000,880.000000,885.000000,885.000000,3432500
2023-06-13,895.000000,915.000000,885.000000,900.000000,900.000000,2678200
2023-06-14,905.000000,920.000000,895.000000,900.000000,900.000000,2653300
2023-06-15,905.000000,920.000000,895.000000,910.000000,910.000000,4192000
2023-06-16,910.000000,1030.000000,905.000000,995.000000,995.000000,48060700
2023-06-19,995.000000,1020.000000,935.000000,945.000000,945.000000,14412300
2023-06-20,945.000000,965.000000,910.000000,920.000000,920.000000,5443200
2023-06-21,920.000000,920.000000,885.000000,900.000000,900.000000,4930200
2023-06-22,905.000000,935.000000,895.000000,905.000000,905.000000,3096800
2023-06-23,905.000000,935.000000,860.000000,870.000000,870.000000,8828500
2023-06-26,865.000000,870.000000,740.000000,800.000000,800.000000,37034300
2023-06-27,800.000000,860.000000,800.000000,845.000000,845.000000,8019000
2023-07-03,855.000000,865.000000,830.000000,845.000000,845.000000,3335900
2023-07-04,845.000000,865.000000,835.000000,855.000000,855.000000,3767400
2023-07-05,855.000000,895.000000,855.000000,860.000000,860.000000,3139000
2023-07-06,860.000000,880.000000,835.000000,870.000000,870.000000,2523000
2023-07-07,870.000000,905.000000,850.000000,900.000000,900.000000,5319600
2023-07-10,910.000000,955.000000,900.000000,950.000000,950.000000,8192700
2023-07-11,955.000000,980.000000,915.000000,960.000000,960.000000,6032900
2023-07-12,965.000000,965.000000,930.000000,960.000000,960.000000,3183200
2023-07-13,955.000000,970.000000,925.000000,970.000000,970.000000,5411000
2023-07-14,980.000000,1050.000000,965.000000,1030.000000,1030.000000,16726500
2023-07-17,1030.000000,1220.000000,1030.000000,1155.000000,1155.000000,31318900
2023-07-18,1155.000000,1400.000000,1140.000000,1385.000000,1385.000000,43386400
2023-07-20,1395.000000,1540.000000,1265.000000,1410.000000,1410.000000,44539100
2023-07-21,1410.000000,1510.000000,1385.000000,1425.000000,1425.000000,15730100
2023-07-24,1425.000000,1500.000000,1295.000000,1445.000000,1445.000000,19688600
2023-07-25,1445.000000,1490.000000,1395.000000,1445.000000,1445.000000,7544600
2023-07-26,1450.000000,1480.000000,1395.000000,1470.000000,1470.000000,7347900
2023-07-27,1475.000000,1600.000000,1420.000000,1560.000000,1560.000000,22393100
2023-07-28,1580.000000,1780.000000,1540.000000,1750.000000,1750.000000,21982300
2023-07-31,1800.000000,1810.000000,1660.000000,1740.000000,1740.000000,13116300
2023-08-01,1740.000000,1810.000000,1660.000000,1685.000000,1685.000000,14323000
2023-08-02,1690.000000,1705.000000,1615.000000,1685.000000,1685.000000,4222600
2023-08-03,1685.000000,1710.000000,1655.000000,1685.000000,1685.000000,3032400
2023-08-04,1690.000000,1760.000000,1680.000000,1755.000000,1755.000000,7004300
2023-08-07,1765.000000,1870.000000,1735.000000,1815.000000,1815.000000,10390700
2023-08-08,1820.000000,1940.000000,1815.000000,1900.000000,1900.000000,14295500
2023-08-09,1900.000000,1925.000000,1865.000000,1910.000000,1910.000000,5467800
2023-08-10,1910.000000,1915.000000,1765.000000,1815.000000,1815.000000,8753600
2023-08-11,1815.000000,2020.000000,1815.000000,1995.000000,1995.000000,19690200
2023-08-14,1995.000000,2490.000000,1995.000000,2490.000000,2490.000000,37582900
2023-08-15,2490.000000,2490.000000,2490.000000,2490.000000,2490.000000,0
2023-08-16,2690.000000,2690.000000,2300.000000,2570.000000,2570.000000,39506400
2023-08-18,2570.000000,2570.000000,2570.000000,2570.000000,2570.000000,0
2023-08-21,2570.000000,2570.000000,2570.000000,2570.000000,2570.000000,0
2023-08-22,2570.000000,2570.000000,2570.000000,2570.000000,2570.000000,0
2023-08-23,2570.000000,2570.000000,2570.000000,2570.000000,2570.000000,0
2023-08-24,2500.000000,2570.000000,2340.000000,2440.000000,2440.000000,21203900
2023-08-25,2440.000000,2530.000000,2200.000000,2380.000000,2380.000000,36902600
2023-08-28,2370.000000,2450.000000,2270.000000,2400.000000,2400.000000,15847200
2023-08-29,2450.000000,2460.000000,2320.000000,2320.000000,2320.000000,10828200
2023-08-30,2320.000000,2460.000000,2270.000000,2360.000000,2360.000000,9644600
2023-08-31,2370.000000,2490.000000,2270.000000,2270.000000,2270.000000,32642600
2023-09-01,2300.000000,2380.000000,2160.000000,2220.000000,2220.000000,22565700
2023-09-04,2220.000000,2250.000000,2010.000000,2050.000000,2050.000000,12772800
2023-09-05,2050.000000,2250.000000,2010.000000,2250.000000,2250.000000,12966300
2023-09-06,2300.000000,2470.000000,2280.000000,2470.000000,2470.000000,15139100
2023-09-07,2590.000000,2650.000000,2370.000000,2400.000000,2400.000000,21397900
2023-09-08,2410.000000,2470.000000,2380.000000,2400.000000,2400.000000,4512300
2023-09-11,2410.000000,2440.000000,2330.000000,2410.000000,2410.000000,3834300
2023-09-12,2410.000000,2460.000000,2300.000000,2410.000000,2410.000000,7589400
2023-09-13,2420.000000,2620.000000,2410.000000,2610.000000,2610.000000,21255400
2023-09-14,2640.000000,2870.000000,2520.000000,2870.000000,2870.000000,19196900
2023-09-15,2970.000000,3150.000000,2910.000000,3150.000000,3150.000000,24992400
2023-09-18,3210.000000,3460.000000,2900.000000,3180.000000,3180.000000,29118200
2023-09-19,3150.000000,3270.000000,2900.000000,2950.000000,2950.000000,26634500
2023-09-20,2960.000000,3050.000000,2860.000000,2900.000000,2900.000000,13192800
2023-09-21,2910.000000,2910.000000,2730.000000,2750.000000,2750.000000,10839000
2023-09-22,2760.000000,3020.000000,2660.000000,3020.000000,3020.000000,30670100
2023-09-25,3160.000000,3440.000000,3070.000000,3180.000000,3180.000000,44217700
2023-09-26,3210.000000,3300.000000,2920.000000,2920.000000,2920.000000,19576100
2023-09-27,2920.000000,3040.000000,2920.000000,2930.000000,2930.000000,7055200
2023-09-29,2990.000000,3000.000000,2840.000000,2860.000000,2860.000000,5970200
2023-10-02,2850.000000,2970.000000,2820.000000,2850.000000,2850.000000,6204900
2023-10-03,2890.000000,2890.000000,2750.000000,2800.000000,2800.000000,8335100
2023-10-04,2810.000000,2840.000000,2640.000000,2700.000000,2700.000000,7013500
2023-10-05,2710.000000,2770.000000,2650.000000,2650.000000,2650.000000,3298300
2023-10-06,2650.000000,2730.000000,2650.000000,2680.000000,2680.000000,4813100
2023-10-09,2690.000000,2810.000000,2670.000000,2710.000000,2710.000000,6354900
