Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,2071.420654,2268.698730,1997.441284,2268.698730,1898.289917,5234740
2005-09-30,2268.698730,2441.317139,2268.698730,2391.997559,2001.458252,2198925
2005-10-03,2318.018311,2490.636719,2318.018311,2441.317139,2042.725586,1488760
2005-10-04,2490.636719,2515.296387,2441.317139,2490.636719,2083.992920,751223
2005-10-05,2465.976807,3008.491943,2465.976807,2835.873535,2372.862793,2282563
2005-10-06,2835.873535,3427.708008,2835.873535,3403.048096,2847.436279,1715851
2005-10-07,3378.388428,3945.562988,3378.388428,3698.965332,3095.038818,1893265
2005-10-10,3797.604492,3994.882568,3797.604492,3994.882568,3342.641602,1728523
2005-10-11,4044.202148,4340.119141,3994.882568,4340.119141,3631.511963,2207036
2005-10-12,4562.057129,4857.974609,4389.438965,4562.057129,3817.213379,2299798
2005-10-13,4611.376953,4857.974609,3452.367676,3452.367676,2888.702637,4550934
2005-10-14,3353.728516,3353.728516,2761.894043,2835.873535,2372.862793,2505092
2005-10-17,2811.213623,3131.790771,2761.894043,2811.213623,2352.229004,1596730
2005-10-18,2835.873535,2909.852783,2811.213623,2835.873535,2372.862793,249394
2005-10-19,2761.894043,2860.533203,2761.894043,2761.894043,2310.962158,247873
2005-10-20,2786.553955,2786.553955,2663.255127,2663.255127,2228.427734,58800
2005-10-21,2515.296387,2638.595215,2367.337891,2515.296387,2104.625977,105941
2005-10-24,2564.615967,2786.553955,2515.296387,2761.894043,2310.962158,329484
2005-10-25,2811.213623,2934.512451,2786.553955,2835.873535,2372.862793,527681
2005-10-26,2811.213623,2860.533203,2786.553955,2811.213623,2352.229004,25344
2005-10-27,2712.574707,2761.894043,2663.255127,2712.574707,2269.695068,5068
2005-10-28,2737.234375,2761.894043,2663.255127,2737.234375,2290.328613,113545
2005-10-31,2737.234375,2761.894043,2712.574707,2737.234375,2290.328613,46127
2005-11-01,2737.234375,2786.553955,2687.914795,2737.234375,2290.328613,133821
2005-11-07,2737.234375,2737.234375,2737.234375,2737.234375,2290.328613,0
2005-11-08,2737.234375,2737.234375,2737.234375,2737.234375,2290.328613,0
2005-11-09,2564.615967,2613.935547,2515.296387,2564.615967,2145.893311,101886
2005-11-10,2613.935547,2663.255127,2539.956299,2613.935547,2187.160889,93776
2005-11-11,2564.615967,2564.615967,2490.636719,2564.615967,2145.893311,6082
